"Garden chemicals",HWRC,1,grey,
"Garden shed","Bulky waste collection/HWRC",1,grey,"broken down as wood"
"Garden waste","Garden waste collection/HWRC",1,green,
"Gas canisters",HWRC,1,grey,
"Gas cylinders",HWRC,1,grey,
"Glass (sheet)",HWRC,1,grey,
"Glass bottles","Recycling box",1,orange,
"Glass jars","Recycling box",1,orange,
"Glasses (drinking)",HWRC,1,grey,
"Glass (Pyrex)","Black wheelie bin/blue bag/HWRC",1,black,
"Grass cuttings","Garden waste collection",1,green,
Handbags,HWRC,1,grey,
"Hard-core and rubble (DIY)",HWRC,1,grey,"limits on quantity"
"Hard plastic","HWRC/Black wheelie bin/blue bag",1,black,"if it will fit"
"Hazardous waste (household)",HWRC,1,grey,
"Hedge trimmings","Garden waste collection",1,green,
"Helium bottles",HWRC,1,grey,
Hob,"Bulky waste collection/HWRC",1,grey,
Hoover,"Bulky waste collection/HWRC",1,grey,
"Household chemicals",HWRC,1,grey,
"Ice cream tubs (paper)","Black wheelie bin/blue bag",0,black,
"Ice cream tubs (plastic)","Plastics collection",1,white,"in a white/transparent plastic bag"
"Ink cartridges (printer/copier)",HWRC,1,grey,
"Jam jars","Recycling box",1,orange,
"Japanese Knot Weed","Destroy and alert the council",0,,
"Junk mail","Recycling box",1,orange,
"Kitchen paper","Black wheelie bin/blue bag",0,black,
"Kitchen pots and pans",HWRC,1,grey,
"Kitchen work tops/units",HWRC,1,grey,
"Ladders (wood or aluminium)",HWRC,1,grey,
"Laminate flooring",HWRC,1,grey,
"Lawnmowers (electric, petrol or manual)",HWRC,1,grey,
Leaflets,"Recycling box",1,orange,
Leaves,"Garden waste collection",1,green,
Letters,"Recycling box",1,orange,
"Light bulbs",HWRC,1,grey,
Linen,"Textiles collection",1,orange,"in a carrier bag"
Magazines,"Recycling box",1,orange,
Mattresses,"Bulky waste collection/HWRC",1,grey,
Medicines,HWRC,1,grey,
"Mercury thermometer",HWRC,1,grey,
"Metal (sheets)",HWRC,1,grey,
Microwave,"Bulky waste collection/HWRC",1,grey,
"Milk bottles","Plastics collection",1,white,"in a white/transparent plastic bag"
Mirrors,HWRC,1,grey,
"Mobile phones",HWRC,1,grey,
"Musical instruments",HWRC,1,grey,
Nappies,"Black wheelie bin/blue bag",0,black,
"Needles &amp; syringes","Clinical waste collection",0,,arranged
Newspapers,"Recycling box",1,orange,
"Oil (engine)",HWRC,1,grey,
"Oil filters",HWRC,1,grey,
Oven,"Bulky waste collection/HWRC",1,grey,
Paint,HWRC,1,grey,
Paper,"Recycling box",1,orange,
"Paper (greaseproof)","Black wheelie bin/blue bag",0,black,
"Paper (shredded)","Recycling box",1,orange,"contained in an envelope, paper bag or box to prevent wind-blow"
"Paper cups (clean)","Recycling box",1,orange,
"Paper cups (dirty)","Black wheelie bin/blue bag",0,black,
"Paper plates (clean)","Recycling box",1,orange,
